Elapsed time;Config-1
15:29:34,500;8.0
15:29:35,500;9.0
15:29:36,500;9.0
15:29:37,500;10.0
15:29:38,500;10.0
15:29:39,500;10.0
15:29:40,500;10.0
15:29:41,500;10.0
15:29:42,500;10.0
15:29:43,500;10.0
15:29:44,500;10.0
15:29:45,500;10.0
15:29:46,500;10.0
15:29:47,500;10.0
15:29:48,500;10.0
15:29:49,500;10.0
15:29:50,500;10.0
15:29:51,500;10.0
15:29:52,500;10.0
15:29:53,500;10.0
15:29:54,500;10.0
15:29:55,500;10.0
15:29:56,500;10.0
15:29:57,500;10.0
15:29:58,500;10.0
15:29:59,500;10.0
15:30:00,500;10.0
15:30:01,500;10.0
15:30:02,500;10.0
15:30:03,500;10.0
15:30:04,500;10.0
15:30:05,500;10.0
15:30:06,500;10.0
15:30:08,0;10.0
15:30:09,0;10.0
15:30:10,0;10.0
15:30:11,0;10.0
15:30:12,0;10.0
15:30:13,0;10.0
15:30:14,0;10.0
15:30:15,500;10.0
15:30:16,500;10.0
15:30:17,500;10.0
15:30:18,500;10.0
15:30:19,500;10.0
15:30:20,500;10.0
15:30:21,500;10.0
15:30:23,500;10.0
15:30:24,0;10.0
15:30:25,0;10.0
15:30:26,0;10.0
15:30:27,0;10.0
15:30:27,500;10.0
15:30:29,500;10.0
15:30:30,500;10.0
15:30:31,500;10.0
15:30:32,0;10.0
15:30:32,500;10.0
15:30:33,500;10.0
15:30:34,500;10.0
15:30:35,0;10.0
15:30:37,0;10.0
15:30:38,0;10.0
15:30:39,0;10.0
15:30:40,0;10.0
15:30:41,0;10.0
15:30:41,500;10.0
15:30:42,0;10.0
15:30:42,500;10.0
15:30:43,0;10.0
15:30:44,500;10.0
15:30:45,500;10.0
15:30:46,500;10.0
15:30:47,500;10.0
15:30:48,500;10.0
15:30:49,0;10.0
15:30:49,500;10.0
15:30:50,500;10.0
15:30:52,0;10.0
15:30:53,0;10.0
15:30:54,0;10.0
15:30:54,500;10.0
15:30:55,0;10.0
15:30:55,500;10.0
15:30:56,0;10.0
15:30:56,500;10.0
15:30:57,500;10.0
15:30:58,500;10.0
15:31:00,0;10.0
15:31:01,0;10.0
15:31:01,500;10.0
15:31:02,0;10.0
15:31:02,500;10.0
15:31:03,0;10.0
15:31:03,500;10.0
15:31:04,500;10.0
15:31:05,500;10.0
15:31:07,0;10.0
15:31:08,0;10.0
15:31:08,500;10.0
15:31:09,0;10.0
15:31:09,500;10.0
15:31:10,0;10.0
15:31:11,500;10.0
15:31:12,500;10.0
15:31:14,0;10.0
15:31:15,0;10.0
15:31:15,500;10.0
15:31:16,500;10.0
15:31:17,0;10.0
15:31:18,500;10.0
15:31:19,500;10.0
15:31:21,0;10.0
15:31:21,500;10.0
15:31:22,500;10.0
15:31:23,500;10.0
15:31:24,0;10.0
15:31:25,500;10.0
15:31:26,500;10.0
15:31:28,0;10.0
15:31:28,500;10.0
15:31:29,500;10.0
15:31:30,0;10.0
15:31:31,0;10.0
15:31:32,500;10.0
15:31:33,500;10.0
15:31:34,500;10.0
15:31:35,500;10.0
15:31:36,500;10.0
15:31:37,0;10.0
15:31:37,500;10.0
15:31:38,0;10.0
15:31:39,0;10.0
15:31:39,500;10.0
15:31:40,500;10.0
15:31:41,500;10.0
15:31:42,500;10.0
15:31:43,500;10.0
15:31:44,0;10.0
15:31:45,0;10.0
15:31:46,0;10.0
15:31:46,500;10.0
15:31:47,500;10.0
15:31:49,0;10.0
15:31:49,500;10.0
15:31:50,500;9.5
15:31:51,500;9.0
15:31:52,0;8.5
15:31:53,0;7.0
15:31:53,500;7.0
15:31:54,500;6.0
15:31:55,500;5.0
15:31:56,500;4.0
15:31:57,500;3.0
15:31:58,500;2.0
15:32:00,500;1.0
